customer_id,company_name,country,region,is_eu,industry,company_size_bucket,annual_contract_value,product_tier,sales_segment,acquisition_channel,contract_start_date,contract_end_date,renewed_flag,discount_pct,initial_onboarding_score,is_churned
C100000,Company_0,Canada,North America,0,Healthcare,51-200,12999.25,Growth,MidMarket,Partner,5/2/2023,,1,0.03,7,0
C100001,Company_1,UK,Europe,1,Wholesale,10-Jan,1799.72,Starter,SMB_Field,Inbound,2/18/2023,,1,0.15,4.9,0
C100002,Company_2,US,North America,0,Manufacturing,10-Jan,1770.83,Starter,SMB_Field,Inbound,11/12/2023,5/13/2024,0,0.37,4.8,1
C100003,Company_3,France,Europe,1,,10-Jan,1790.3,Starter,SMB_Field,Outbound,8/6/2023,,1,0.1,8,0
C100004,Company_4,Netherlands,Europe,1,Professional Services,10-Jan,1552,Starter,SMB_Inside,Inbound,9/9/2023,3/10/2024,0,0.11,3.8,1
C100005,Company_5,Germany,Europe,1,Manufacturing,51-200,13476.07,Enterprise,MidMarket,Outbound,8/19/2023,8/19/2024,0,0.17,8.2,0
C100006,Company_6,Canada,North America,0,Wholesale,51-200,21487.81,Enterprise,MidMarket,Partner,2/4/2023,,1,0.07,5.9,0
C100007,Company_7,Germany,Europe,1,Healthcare,10-Jan,2079.68,Starter,SMB_Inside,Inbound,2/11/2024,8/12/2024,0,0.21,6.8,0
C100008,Company_8,France,Europe,1,,201-1000,60522.71,Growth,Enterprise,SelfServe,1/28/2023,,1,0.14,5.5,0
C100009,Company_9,Netherlands,Europe,1,Wholesale,10-Jan,1239.73,Starter,SMB_Inside,Inbound,11/14/2023,,1,0.15,6.7,0
C100010,Company_10,US,North America,0,Ecommerce,10-Jan,1073.77,Starter,SMB_Inside,Inbound,4/11/2023,7/11/2023,0,0.09,5.9,1
C100011,Company_11,France,Europe,1,,Nov-50,8621.98,Growth,SMB_Inside,Partner,2/5/2024,2/5/2025,0,0.22,6.7,0
C100012,Company_12,Australia,North America,0,Logistics,51-200,30326.93,Enterprise,MidMarket,Partner,5/28/2023,,1,0.2,7.2,0
C100013,Company_13,UK,Europe,1,Manufacturing,51-200,30873.53,Growth,MidMarket,Partner,2/19/2024,2/19/2025,0,0.08,8.2,0
C100014,Company_14,Canada,North America,0,Manufacturing,10-Jan,2701.86,Growth,SMB_Inside,Outbound,4/30/2023,,1,0.16,7.7,0
C100015,Company_15,US,North America,0,,51-200,29558.84,Growth,MidMarket,Outbound,11/6/2023,11/6/2024,0,0.35,7.1,0
C100016,Company_16,Canada,North America,0,Professional Services,51-200,17319.69,Starter,MidMarket,Partner,1/10/2024,1/10/2025,0,0.27,5.8,0
C100017,Company_17,UK,Europe,1,Retail,Nov-50,7004.03,Growth,SMB_Field,Inbound,10/31/2023,10/31/2024,0,0.17,7.4,0
C100018,Company_18,Canada,North America,0,,1000+,319847.96,Growth,Enterprise,SelfServe,6/10/2023,,1,0.02,6.4,0
C100019,Company_19,UK,Europe,1,Hospitality,Nov-50,7879.11,Starter,SMB_Field,Outbound,9/30/2023,9/30/2024,0,0.06,7.3,0
C100020,Company_20,Spain,Europe,1,Healthcare,10-Jan,2773.23,Growth,SMB_Inside,SelfServe,2/4/2024,,1,0.33,8.5,0
C100021,Company_21,UK,Europe,1,Wholesale,Nov-50,5521.33,Growth,SMB_Field,Outbound,11/22/2023,11/22/2024,0,0.26,5.1,0
C100022,Company_22,Spain,Europe,1,Hospitality,10-Jan,1645.91,Starter,SMB_Inside,Inbound,1/5/2024,7/6/2024,0,0.23,3.3,0
C100023,Company_23,Spain,Europe,1,Hospitality,10-Jan,1500.49,Starter,SMB_Inside,Outbound,5/2/2023,,1,0.37,8.6,0
C100024,Company_24,France,Europe,1,Manufacturing,Nov-50,5179.89,Starter,SMB_Field,Inbound,2/16/2023,,1,0.26,7.1,0
C100025,Company_25,Spain,Europe,1,Ecommerce,Nov-50,6521.95,Growth,SMB_Field,Outbound,9/7/2023,9/7/2024,0,0.18,6.2,0
C100026,Company_26,Australia,North America,0,Logistics,Nov-50,8744.48,Starter,SMB_Inside,Inbound,3/20/2024,3/21/2025,0,0.16,8.1,0
C100027,Company_27,Spain,Europe,1,Healthcare,10-Jan,1770.79,Starter,SMB_Inside,Partner,12/3/2023,,1,0.05,4.8,0
C100028,Company_28,Australia,North America,0,Wholesale,51-200,34205.04,Growth,MidMarket,Inbound,4/1/2024,4/2/2025,0,0.05,9.2,0
C100029,Company_29,US,North America,0,Hospitality,10-Jan,1778.4,Starter,SMB_Inside,Outbound,2/1/2024,2/1/2025,0,0.12,5.9,0
C100030,Company_30,Germany,Europe,1,Professional Services,Nov-50,8469.07,Starter,SMB_Inside,Partner,2/22/2023,,1,0.22,6.5,0
C100031,Company_31,Australia,North America,0,Ecommerce,10-Jan,2726.28,Starter,SMB_Inside,Outbound,12/5/2023,,1,0.13,8.1,0
C100032,Company_32,France,Europe,1,,Nov-50,6280.62,Starter,SMB_Inside,Inbound,5/21/2023,,1,0.06,8,0
C100033,Company_33,Canada,North America,0,Retail,Nov-50,6892.04,Starter,SMB_Inside,SelfServe,6/22/2023,,1,0.15,7.8,0
C100034,Company_34,Canada,North America,0,,Nov-50,3318.12,Enterprise,SMB_Inside,Partner,5/24/2023,,1,0.04,5.7,0
C100035,Company_35,UK,Europe,1,Logistics,Nov-50,3226.21,Starter,SMB_Inside,SelfServe,2/15/2024,2/15/2025,0,0.19,6.2,0
C100036,Company_36,Spain,Europe,1,,Nov-50,5635.24,Growth,SMB_Inside,Inbound,4/29/2023,,1,0.41,7.8,0
C100037,Company_37,Spain,Europe,1,Retail,10-Jan,2993.27,Starter,SMB_Field,Outbound,7/16/2023,7/16/2024,0,0.34,5,0
C100038,Company_38,Netherlands,Europe,1,Wholesale,10-Jan,1227.12,Starter,SMB_Inside,SelfServe,2/3/2023,,1,0.03,6.6,0
C100039,Company_39,Netherlands,Europe,1,Hospitality,1000+,297187.52,Growth,Enterprise,SelfServe,9/12/2023,9/12/2024,0,0.18,6.8,0
C100040,Company_40,UK,Europe,1,Hospitality,Nov-50,8485.57,Starter,SMB_Inside,Inbound,6/15/2023,,1,0.14,7.1,0
C100041,Company_41,Australia,North America,0,,51-200,20422.4,Growth,MidMarket,Outbound,9/19/2023,,1,0.33,9.5,0
C100042,Company_42,Australia,North America,0,Professional Services,Nov-50,4206.24,Growth,SMB_Inside,Partner,4/3/2023,,1,0.1,5.9,0
C100043,Company_43,US,North America,0,Hospitality,Nov-50,6368.02,Growth,SMB_Inside,Inbound,10/9/2023,,1,0.11,6.9,0
C100044,Company_44,Canada,North America,0,,Nov-50,3256.78,Growth,SMB_Inside,Outbound,12/31/2023,12/31/2024,0,0.08,7.2,0
C100045,Company_45,Canada,North America,0,Ecommerce,10-Jan,1040.14,Starter,SMB_Field,Inbound,4/29/2023,,1,0.1,6.5,0
C100046,Company_46,Germany,Europe,1,,Nov-50,6951.21,Growth,SMB_Inside,SelfServe,2/28/2024,8/29/2024,0,0.24,5.8,0
C100047,Company_47,Germany,Europe,1,Wholesale,Nov-50,4721.7,Enterprise,SMB_Field,Inbound,7/17/2023,7/17/2024,0,0.16,2.8,0
C100048,Company_48,France,Europe,1,Hospitality,1000+,491273.51,Enterprise,Enterprise,SelfServe,12/1/2023,12/1/2024,0,0.21,7.2,0
C100049,Company_49,Germany,Europe,1,Manufacturing,Nov-50,6553.27,Starter,SMB_Inside,SelfServe,10/2/2023,10/2/2024,0,0.14,4.9,0
C100050,Company_50,France,Europe,1,,10-Jan,1644.71,Starter,SMB_Field,Partner,5/18/2023,,1,0.17,4.3,0
C100051,Company_51,Australia,North America,0,Manufacturing,Nov-50,9530.57,Enterprise,SMB_Inside,SelfServe,3/9/2024,3/10/2025,0,0.27,7,0
