ticket_id,customer_id,created_at,channel,priority,issue_category,ticket_text,sentiment,first_response_hours,resolution_hours,resolved
200001,C100000,2024-05-12T23:17,Chat,Medium,product_performance,Dashboard loads very slowly during peak hours.,0.44,0.11,14.88,1
200002,C100001,2024-06-28T18:27,Email,Low,product_performance,Dashboard loads very slowly during peak hours.,-0.5,8.12,9.37,1
200003,C100002,2024-11-25T16:38,Email,Medium,product_usability,The new dashboard is confusing for my staff.,-0.5,2.97,31.65,1
200004,C100003,2024-11-02T14:37,Phone,High,billing_admin,I need to change our billing email and can't find the option.,-0.11,0.1,12.49,1
200005,C100004,2024-10-17T22:27,Phone,Medium,product_performance,Inventory sync takes too long to complete.,0.2,5.19,35.67,1
200006,C100005,2024-09-30T03:05,In-App,Low,product_usability,Bulk upload flow is not intuitive.,0.33,0.1,9.88,1
200007,C100005,2024-06-22T01:46,In-App,Medium,sales_expectation,Pricing discussed in the demo does not match our invoice.,-0.02,1.74,6.83,1
200008,C100005,2024-11-04T17:18,Phone,Medium,billing_admin,We were charged for extra users we don't have.,-0.33,0.22,13.77,1
200009,C100005,2024-02-22T21:14,Phone,Urgent,product_performance,Dashboard loads very slowly during peak hours.,-0.12,3.09,30.52,1
200010,C100006,2024-01-23T12:17,In-App,Medium,product_usability,It's hard to find where to update product SKUs.,-0.26,0.1,3.4,1
200011,C100006,2024-09-07T11:22,Chat,Medium,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.11,0.92,2.39,1
200012,C100006,2024-09-02T17:46,Chat,Low,product_performance,Inventory sync takes too long to complete.,-0.13,1.06,4.95,1
200013,C100006,2024-06-25T20:44,Chat,Medium,billing_admin,Our discount was not applied to this renewal.,-0.11,6.87,14.3,1
200014,C100006,2024-08-21T01:51,Phone,Medium,product_performance,Inventory sync takes too long to complete.,0.06,7.18,27.32,0
200015,C100006,2024-11-29T18:56,Phone,Medium,product_performance,Inventory sync takes too long to complete.,-0.21,1.27,2.97,1
200016,C100006,2024-08-03T20:29,Chat,Medium,billing_admin,VAT appears to be calculated incorrectly.,0.16,0.38,2.19,1
200017,C100007,2024-06-17T23:37,In-App,High,product_usability,Bulk upload flow is not intuitive.,0.29,1.5,7.19,1
200018,C100008,2024-07-22T07:08,In-App,Low,billing_admin,Our discount was not applied to this renewal.,-0.06,6.18,19.12,1
200019,C100009,2024-10-25T04:40,Chat,High,product_performance,Dashboard loads very slowly during peak hours.,0.33,2.78,3.18,1
200020,C100009,2024-09-11T12:24,In-App,Medium,billing_admin,We were charged for extra users we don't have.,0.59,1.26,7.33,1
200021,C100009,2024-09-02T21:56,Phone,High,product_performance,Dashboard loads very slowly during peak hours.,0.28,3.77,12.25,1
200022,C100011,2024-08-24T09:27,Chat,Medium,sales_expectation,Sales promised a custom report that doesn't exist.,-0.12,7.18,13.61,1
200023,C100012,2024-08-20T16:58,Email,High,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.17,2.21,16.73,1
200024,C100012,2024-04-02T04:23,Chat,Medium,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",-0.14,0.36,11.64,1
200025,C100013,2024-04-01T15:01,Email,High,product_performance,The reporting page keeps timing out.,-0.2,4.95,15.72,1
200026,C100013,2024-06-02T01:15,Email,Low,sales_expectation,"We were told onboarding would be fully managed, but it wasn't.",0.11,2.72,16.69,1
200027,C100013,2024-08-25T17:49,Chat,Low,billing_admin,We were charged for extra users we don't have.,-0.1,3.78,23.03,1
200028,C100013,2024-09-26T08:33,In-App,Urgent,billing_admin,I need to change our billing email and can't find the option.,0.38,2.94,3.82,1
200029,C100014,2024-12-11T12:42,Phone,Medium,product_usability,Bulk upload flow is not intuitive.,0.08,7.27,8.94,1
